date,time,temp,pressure,humidity,uv_index,clouds_percentage,visibility,wind_speed,wind_deg,temperature,solar_irradiation
25-12-2021,6:00:00,20.98,101300,94,0,20,3000,1.03,350,24.72,0
25-12-2021,6:15:00,20.98,101300,94,0,20,3000,1.03,350,24.69,0
25-12-2021,6:30:00,20.98,101300,94,0,20,3000,1.03,350,24.62,0
25-12-2021,6:45:00,20.98,101400,94,0,20,3000,1.03,350,24.59,0
25-12-2021,7:00:00,20.98,101400,94,0,20,3000,1.03,350,24.72,0
25-12-2021,7:15:00,20.98,101400,94,0.46,20,2500,1.03,350,24.99,78
25-12-2021,7:30:00,20.98,101400,94,0.46,20,2500,1.03,350,25.43,204
25-12-2021,7:45:00,21.98,101500,88,0.46,20,3000,1.03,350,25.59,294
25-12-2021,8:00:00,21.98,101500,88,0.46,20,3000,1.03,350,26,414
25-12-2021,8:15:00,22.98,101500,88,1.87,20,3000,1.54,350,26.16,306
25-12-2021,8:30:00,22.98,101500,88,1.87,20,3000,1.54,350,26.47,600
25-12-2021,8:45:15,23.98,101500,83,1.87,20,3000,1.54,10,26.63,678
25-12-2021,9:00:15,23.98,101500,83,4.39,20,3000,1.54,10,27.07,456
25-12-2021,9:15:23,24.98,101500,83,4.39,20,3000,1.54,10,27.17,618
25-12-2021,9:30:29,24.98,101500,83,4.39,20,3000,1.54,10,27.77,594
25-12-2021,9:45:39,25.98,101500,78,4.39,22,3500,2.06,50,27.64,858
25-12-2021,10:00:44,25.98,101500,78,7.24,19,3500,2.06,50,27.67,678
25-12-2021,10:15:45,26.98,101500,69,7.24,19,3500,4.63,80,27.91,282
25-12-2021,10:30:52,26.98,101500,69,7.24,19,3500,4.63,80,27.94,996
25-12-2021,10:45:51,26.98,101500,69,7.24,19,3500,4.63,80,28.24,336
25-12-2021,11:00:58,27.18,101400,48,9.36,17,10000,2.94,48,28.64,354
25-12-2021,11:15:58,27.18,101400,48,9.36,17,10000,2.94,48,28.64,354
25-12-2021,11:30:00,27.98,101500,65,9.36,18,4000,2.57,50,28.91,918
25-12-2021,11:45:00,27.98,101500,65,9.36,18,4000,2.57,50,28.74,732
25-12-2021,12:00:15,28.98,101400,61,9.97,7,4000,3.09,40,29.45,450
25-12-2021,12:15:16,28.98,101400,61,9.97,7,4000,3.09,40,29.41,822
25-12-2021,12:30:10,28.98,101400,61,9.97,7,4000,3.09,40,29.11,1014
25-12-2021,12:45:00,28.98,101400,61,9.97,7,4000,3.09,40,29.35,564
25-12-2021,13:00:00,28.98,101400,61,9.97,7,4000,3.09,40,29.35,354
25-12-2021,13:15:04,29.98,101300,58,8.72,20,4000,3.09,60,29.61,918
25-12-2021,13:30:25,29.98,101300,58,8.72,20,4000,3.09,60,29.78,1116
25-12-2021,13:45:46,29.98,101200,58,8.72,20,4500,2.57,90,29.92,816
25-12-2021,14:00:08,29.98,101200,54,6.16,20,4500,3.09,70,29.68,750
25-12-2021,14:15:08,29.98,101200,54,6.16,20,4500,3.09,70,29.68,750
25-12-2021,14:30:29,29.98,101200,54,6.16,20,4500,3.09,70,29.85,312
25-12-2021,14:45:58,29.98,101200,51,6.16,20,4500,3.09,100,29.71,738
25-12-2021,15:00:00,29.98,101200,51,6.16,20,4500,3.09,100,29.75,702
25-12-2021,15:15:25,29.98,101100,48,3.35,20,4500,3.09,110,29.78,606
25-12-2021,15:30:00,29.98,101100,48,3.35,20,5000,4.63,130,29.48,492
25-12-2021,15:45:00,29.98,101100,48,3.35,20,5000,4.63,130,29.48,492
25-12-2021,16:00:15,29.98,101100,48,1.17,20,5000,4.63,130,29.51,312
25-12-2021,16:15:23,29.98,101100,48,1.17,20,6000,3.09,80,29.51,186
25-12-2021,16:30:23,29.98,101100,48,1.17,20,6000,3.09,80,29.51,186
25-12-2021,16:45:00,28.98,101200,51,1.17,20,6000,3.6,110,29.14,102
25-12-2021,17:00:00,28.98,101200,51,1.17,20,6000,3.6,110,29.04,108
25-12-2021,17:15:32,28.98,101200,51,0.2,20,6000,3.09,90,28.48,0
25-12-2021,17:30:32,28.98,101200,51,0.2,20,6000,3.09,90,28.48,0
25-12-2021,17:45:16,25.98,101200,65,0,20,6000,2.57,100,27.47,0
25-12-2021,18:00:16,25.98,101200,65,0,20,6000,2.57,100,27.47,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
