time,temperature,solar_predict
14:13:32,0,0
14:14:33,0,0
14:15:34,0,0
14:16:50,33.0587272644043,1072.404541015625
14:17:52,33.08310317993164,1066.532958984375
14:18:55,33.05793762207031,1054.042236328125
14:19:58,33.077301025390625,1044.493408203125
14:21:01,33.0734977722168,1018.58349609375
14:22:04,33.06834411621094,955.6832885742188
14:23:07,33.06793212890625,872.6068115234375
14:24:09,33.06826400756836,800.234130859375
14:25:12,33.05934143066406,730.9973754882812
14:26:15,33.05835723876953,693.1207275390625
14:27:18,33.06024169921875,694.7727661132812
14:28:20,33.1114501953125,739.6306762695312
14:29:24,33.03003692626953,668.3130493164062
14:30:29,32.91305160522461,565.8316650390625
14:31:32,32.830665588378906,493.66473388671875
14:32:35,32.82059097290039,484.8393249511719
14:33:38,32.826290130615234,489.8297424316406
